,artist_id,name,genres,popularity,followers,track_id,track_name,release_date,release_date_precision,album_len,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre,Map
51,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
52,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
53,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,3eP13S8D5m2cweMEg3ZDed,Virginia Beach,2023-10-06,day,23.0,251094.0,True,87.0,0.402,0.514,1.0,-7.322,0.0,0.0471,0.106,0.0,0.181,0.2,120.009,4.0,"['Rap', 'Pop', 'Hip Hop']",True
54,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),2023-10-06,day,23.0,133694.0,True,86.0,0.868,0.407,10.0,-7.735,1.0,0.295,0.0479,0.000111,0.139,0.255,107.524,4.0,"['Rap', 'Pop', 'Hip Hop']",True
55,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,2022-11-04,day,16.0,239359.0,True,87.0,0.561,0.52,11.0,-9.342,0.0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3.0,"['Rap', 'Pop', 'Hip Hop']",True
56,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,2022-11-04,day,16.0,239359.0,True,87.0,0.561,0.52,11.0,-9.342,0.0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3.0,"['Rap', 'Pop', 'Hip Hop']",True
57,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),2023-10-06,day,23.0,310490.0,True,83.0,0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,3.0,"['Rap', 'Pop', 'Hip Hop']",True
58,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),2023-10-06,day,23.0,310490.0,True,83.0,0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,3.0,"['Rap', 'Pop', 'Hip Hop']",True
59,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
60,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
61,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
62,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),2021-09-03,day,21.0,291175.0,True,86.0,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937,4.0,"['Rap', 'Pop', 'Hip Hop']",True
63,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),2023-10-06,day,23.0,247444.0,True,92.0,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,4.0,"['Rap', 'Pop', 'Hip Hop']",True
64,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),2023-10-06,day,23.0,247444.0,True,92.0,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,4.0,"['Rap', 'Pop', 'Hip Hop']",True
65,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,day,1.0,261492.0,True,80.0,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,4.0,"['Rap', 'Pop', 'Hip Hop']",True
66,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
67,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
68,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
69,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,5UsLjwBaTHBX4ektWIr4XX,Forever,2009-05-15,day,29.0,357706.0,True,77.0,0.457,0.906,5.0,-2.278,0.0,0.342,0.249,0.0,0.182,0.54,104.02,5.0,"['Rap', 'Pop', 'Hip Hop']",True
70,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),2022-06-17,day,14.0,218364.0,True,89.0,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0,"['Rap', 'Pop', 'Hip Hop']",True
71,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),2022-06-17,day,14.0,218364.0,True,89.0,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0,"['Rap', 'Pop', 'Hip Hop']",True
72,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,2022-11-04,day,16.0,239359.0,True,87.0,0.561,0.52,11.0,-9.342,0.0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3.0,"['Rap', 'Pop', 'Hip Hop']",True
