name,artist_id
One Direction,4AK6F7OLvEQ5QYCBNiQWHq
Ne-Yo,21E3waRsmPlU7jZsS13rcj
Karmin,4M0DLz8te9Q1lNIXBBwvfG
Estelle,5T0MSzX9RC5NA6gAI6irSn
Ram Jam,6FITmSxIMsk6TfulFiCIIz
Bingo Players,1pbHrVayIcVpHI9z97u4bK
will.i.am,085pc2PYOi8bGKj0PNjekA
Stromae,5j4HeCoUlzhfWtjAfM1acR
Don Omar,33ScadVnbm2X8kkUqOkC6Z
Owl City,07QEuhtrNmmZ0zEcqE9SF6
Two Door Cinema Club,536BYVgOnRky0xjsPT96zl
Travie McCoy,7o9Nl7K1Al6NNAHX6jn6iG
Iyaz,5tKXB9uuebKE34yowVaU3C
Trey Songz,2iojnBLj0qIMiKPvVhLnsH
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
Neon Trees,0RpddSzUHfncUWNJXKOsjy
Young Money,5OrB6Jhhrl9y2PK0pSV4VP
Far East Movement,698hF4vcwHwPy8ltmXermq
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
Lil Wayne,55Aa2cqylxrFIXC767Z865
Cali Swag District,1EeArivTpzLNCqubV95255
Aloe Blacc,0id62QV2SZZfvBn9xpmuCl
Shontelle,4M6Z1wubeKtwPqbjJygTOc
Edward Maya,6XwwFnewNgWp81MYMK8zLq
Ludacris,3ipn9JLAPI5GUEo4y4jcoi
John Mayer,0hEurMDQu99nJRq8pTxO14
3OH!3,0FWzNDaEu9jdgcYTbcOa4F
Sean Kingston,6S0dmVVn4udvppDhZIWxCr
INNA,2w9zwq3AktTeYYMuhMjju8
Sugarland,0hYxQe3AK5jBPCr5MumLHD
Yolanda Be Cool,4KkHjCe8ouh8C2P9LPoD4F
DJ Fresh,6r20qOqY7qDWI0PPTxVMlC
Example,6Vh6UDWfu9PUSXSzAaB3CW
Adam Lambert,6prmLEyn4LfHlD9NnXWlf7
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs
The Script,3AQRLZ9PuTAozP28Skbq8V
Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM
Robyn,6UE7nl9mha6s8z0wFQFIZ2
K'NAAN,7pGyQZx9thVa8GxMBeXscB
Take That,1XgFuvRd7r5g0h844A5ZUQ
Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM
Tim Berg,7iLc4hrjOjQPfg1E3cCHg1
The Wanted,2NhdGz9EDv2FeUw6udu2g1
The Saturdays,15qI5w4XJFLRMwOp2VrlD5
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
Dylan Gossett,4H4M0Y4cN39zIVDHvdW53x
Jordan Davis,77kULmXAQ6vWer7IIHdGzI
Bryan Martin,0ChjBYedhZTQnWZWQYg15U
Sam Barber,08GfvCW09pv2QP4y9sle2a
Tyler Childers,13ZEDW6vyBF12HYcZRr4EV
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj
Darius Rucker,7FY5V3XMwlNBPitEjXowHQ
Josh Meloy,3EVsC9ZK7QMDuK4FPcZaEq
Wyatt Flores,46lEQmDJLJeyltECJYJv1Y
Zac Brown Band,6yJCxee7QumYr820xdIsjo
Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I
Cody Johnson,6zLBxLdl60ekBLpawtT63I
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk
Chayce Beckham,5ujvZU2thXjZgFKPUt1rDt
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38
ERNEST,4GGfAshSkqoxpZdoaHm7ky
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8
Besomorph,619CzMJPPWrCeZwx5qw6ko
Meric,44aoeFCBHXcE6v9hM7dBcl
Gloria Kim,1DUd25ybTBglvAohsXTmBx
Arya,7MmewOfNotqLLNt48TelbK
Frizk,2kytM35nXuQfdxPeoLgE0K
3409,7HajgsbfyKJutkRaAOO3Gv
Aliyah's Interlude,7maQENQfaF8xDdEJp4i545
RIELL,0xD6n0wj7aqV5g5LcRNBUd
Cadmium,2jrBiKykLqcIp2S7GLiahy
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs
Libianca,7kjSuFGKhLm8b5qXoMhRkJ
d4vd,5y8tKLUfMvliMe8IKamR32
RAYE,5KKpBU5eC2tJDzf0wmlRp2
Steve Lacy,57vWImR43h4CaDao012Ofp
BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j
Eliza Rose,4XC335ouK6pXyq4QiIb8bP
Labrinth,2feDdbD5araYcm6JhFHHw7
Coi Leray,6AMd49uBDJfhf30Ak2QR5s
BRAN,44CMqAkutKvmCaE2OxyCbd
Toosii,6BH1xcDkwbbyrLMUKECsW1
Jaeger,77PxY9mItIkmEo8D2fbfco
Miguel,360IAlyVv4PCEVjgyMZrxK
Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS
Gabriel Matthew,6iXyKLMU80TXYMWa2dQCUB
21 Savage,1URnnhqYAYcrqrcwql10ft
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
Future,1RyvyyTE3xzB2ZywiAwp0i
Daddy Yankee,4VMYDCV2IEDYJArk749S6m
Elton John,3PhoLpVuITZKcymswpck5b
Feid,2LRoIwlKmHjgvigdNGBHNo
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
Arijit Singh,4YRxDV8wJFPHPTeXepOstw
Ozuna,1i8SpTcr7yvPOmcqrbnVXY
Jack Harlow,2LIk90788K0zvyj2JJVwkJ
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z
Pritam,1wRPtKGflJrBx9BmLsSwlU
Quevedo,52iwsT98xCoGgiGntTiR7K
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy
Playboi Carti,699OTQXzgjhIYAHMy9RyPD
Farruko,329e4yvIujISKGKz1BZZbO
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
Anuel AA,2R21vXR83lH98kGeO99Y66
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
Central Cee,5H4yInM5zmHqpKIoMNAx4r
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
Paloma Faith,4fwuXg6XQHfdlOdmw36OHa
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j
American Authors,0MlOPi3zIDMVrfA9R04Fe3
Nico & Vinz,0awl5piYwO0CDTHEkCjUhn
Rixton,0kkxsdcaWmWU2yWAqclDh4
Becky G,4obzFoKoKRHIphyHzJ35G3
Mr. Probz,33W1pnW9zScZtYTnAoWnOT
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
Idina Menzel,73Np75Wv2tju61Eo9Zw4IR
Tove Lo,4NHQUGzhtTLFvgF5SZesLK
Route 94,1dgdvbogmctybPrGEcnYf6
Alex & Sierra,58MLl9nC29IXbE4nEtuoP2
Milky Chance,1hzfo8twXdOegF3xireCYs
Clean Bandit,6MDME20pz9RveH9rEXvrOM
Jeremih,3KV3p5EY4AvKxOlhGHORLg
A Great Big World,5xKp3UyavIBUsGy3DQdXeF
Paramore,74XFHRwlV6OrjEM0A2NCMF
Tinashe,0NIIxcxNHmOoyBx03SfTCD
Echosmith,1PbBg2aYjWLKRk84zJK15x
Bobby Shmurda,34Y0ldeyUv7jBvukWOGASO
Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi
Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC
