artist_id,name,genres,popularity,followers
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"r&b,soul",80,29230343
1TtXnWcUs0FCkaZDPGYHdf,Darell,"latin hip hop,reggaeton,trap latino,urbano latino",77,4090284
718COspgdWOnwOFpJHRZHS,Luke Combs,"contemporary country,country",81,9496398
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,"country rap,nashville hip hop,tennessee hip hop",74,2713861
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago drill,chicago rap,drill,hip hop,rap,trap",80,6475402
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,"contemporary country,modern country pop",72,735276
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,"contemporary country,modern country pop",69,382217
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,"contemporary country,outlaw country",77,6286881
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"atl hip hop,hip hop,pop rap,rap,trap",79,3194148
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,"contemporary country,country,country road,modern country rock",71,6372786
4zoRNhOhsGX3w8yBAnFSQ8,Paul Russell,indie r&b,64,132310
6IkfE2JyVoKwBZXvuytKX3,Oliver Anthony Music,modern country pop,68,708630
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,"pluggnb,rap,trap",70,1342903
45TgXXqMDdF8BkjA83OM7z,Rod Wave,florida rap,78,5801712
2yLzlEFtIS0Q9UkyBZdQA7,Jessie Murph,"modern country pop,singer-songwriter pop",70,707055
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,trap queen,72,307344
63XBtGSEZINSyXylZxEUbv,Victoria Monét,alternative r&b,68,824697
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"boy band,dance pop,pop",68,2155964
5QNm7E7RU2m64l6Gliu8Oy,HARDY,"contemporary country,modern country pop",71,557608
4D75GcNG95ebPtNvoNVXhz,AFROJACK,"big room,dance pop,dutch house,edm,electro house,pop dance",68,4008186
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"pop rap,r&b,rap",83,20727514
6TZdvF1kFzwnQLgHQynzsO,Alien Ant Farm,"alternative metal,funk metal,nu metal,post-grunge",56,786074
3MV8aOR91lzhsfoIMd0g5z,Aurora Jayde,,43,365
05eD7r0lrv7tVX32XYnUDs,Derek Norsworthy,,39,199
6a9sa1cMkU55p7QGbjSzNu,Awake Past 3,,41,226
3K2zB87GZv1krx031en5VA,La Roux,"alternative dance,electropop,indietronica,neo-synthpop",60,648379
6dMtOcYDs2wDlYuyxjgkRs,Wavvy Tape,,41,517
1mHuZMOP8FG5ip4yAb1vrB,Michael Franti & Spearhead,reggae fusion,53,208856
0SCbttzoZTnLFebDYmAWCm,Glee Cast,"glee club,post-teen pop",66,1516613
6d0ZjIp5L7Ygy2l02HskRX,Dylan Matthew,singer-songwriter pop,60,96571
0aogCZxZS1h1dWzGm6eBsp,Leida Taylor,,41,187
0Chxmm4XMM87mJOHvyiUzL,Kevin Rudolf,"pop rap,wrestling",48,144963
2gsggkzM5R49q6jpPvazou,Jessie J,"dance pop,pop",68,11660503
2A5XX9330cn5wnouz8SMAx,Supreme Unbeing,,27,7802
7rvhhrFPLui1EZewolgYjE,Eastern Thrills,,42,1312
2aYJ5LAta2ScCdfLhKgZOY,Cobra Starship,"neon pop punk,pop punk,post-teen pop",54,504528
5whBm2Wk9GvITjOclp8nQX,Ava Della Pietra,,29,3887
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,"dance pop,pop",74,7863269
1YEEbHKA7t5pYoNnjtHSzP,Savage Sons,,39,813
6tbjWDEIzxoDsBA1FuhfPW,Madonna,"dance pop,pop",77,7315135
1dPgPwYz4zapkdMwTIxq7y,Jet Fuel & Ginger Ales,,42,714
5e4Dhzv426EvQe3aDb64jL,Shania Twain,"canadian country,canadian pop,contemporary country,country,country dawn",70,3015479
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,"album rock,classic rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",70,2251065
3gdbcIdNypBsYNu3iiCjtN,The B-52's,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo",56,1016131
7dtJROxWQe3fxxF5t7o67N,Bonnie McKee,candy pop,39,69649
0yNy8fi1yBBq526E6mx4Zs,Orianthi,candy pop,39,83202
0JpwHe11MFhd77gsR9TNT4,The Grunge Growlers,,43,1689
