track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5wjsJIUf6pdrwauPDae43o,0.771,0.661,4,-4.269,0,0.0533,0.227,0.0,0.143,0.964,74.995,4
0UbesRsX2TtiCeamOIVEkp,0.628,0.668,8,-2.722,1,0.117,0.329,0.0,0.139,0.845,148.746,3
0IKeDy5bT9G0bA7ZixRT4A,0.529,0.602,7,-4.629,1,0.0458,0.299,0.0,0.0716,0.756,157.643,4
17js0w8GTkTUFGFM6PYvBd,0.758,0.812,4,-3.272,0,0.0854,0.188,0.0,0.0564,0.795,144.908,4
6UtWwuheJr5LLDeVypPNx7,0.742,0.873,0,-5.913,0,0.0519,0.172,0.0,0.0857,0.796,128.053,3
7dR09k1an5JEq7ch0Y5hvV,0.703,0.791,7,-6.792,0,0.0657,0.255,0.0,0.106,0.759,142.219,3
5aIVCx5tnk0ntmdiinnYvw,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,4
000N4CJL8IjQ0f2I4grgBO,0.762,0.731,1,-5.114,1,0.0501,0.0879,0.000229,0.173,0.563,113.987,4
10aCY2jJFNYGf9qpiN2LZy,0.751,0.561,1,-9.829,1,0.0406,0.00446,0.0523,0.0932,0.358,113.003,4
2SPr7EDc5WBw1tM6bNgcZC,0.698,0.331,6,-11.443,0,0.271,0.528,0.0,0.104,0.147,96.932,4
2TDovGBTIpZ6zXKeyhsFzz,0.817,0.933,4,-5.55,0,0.0403,0.0998,0.00263,0.107,0.687,115.485,4
79RAX0NTNBnzuLieO4zYcr,0.759,0.626,7,-10.616,0,0.0446,0.0228,0.0201,0.129,0.361,114.972,4
4FXofvzjYAAugFnvhDiUtY,0.765,0.773,9,-6.655,0,0.0361,0.254,0.000406,0.0604,0.529,112.999,4
1Nx3wKSjqj51Vslhc7CAhy,0.616,0.875,1,-7.063,1,0.0459,0.0124,0.618,0.315,0.463,120.008,4
7f86k1DxRoGUeeDHSRhp7s,0.771,0.698,1,-11.632,1,0.069,0.00887,0.154,0.138,0.434,113.009,4
5aGfWZarfHautsCe9ntnmh,0.881,0.666,2,-10.075,0,0.0633,0.0881,0.00388,0.123,0.228,112.989,4
5RqSsdzTNPX1uzkmlHCFvK,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,4
7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,3
3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,3
2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4
7bPp2NmpmyhLJ7zWazAXMu,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,4
1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,3
2hn2zOA2XFlv6DSmesylrL,0.791,0.892,0,-2.58,1,0.0521,0.0509,0.000355,0.0609,0.916,97.008,4
3HOKxuTDmNVmIlCIpBiD8m,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,3
3wlIAXSDtlD9iU8ysld06Z,0.776,0.701,9,-5.223,1,0.0254,0.513,0.0,0.0902,0.603,112.032,3
0cNSq9T5l8gZnpY14rsTR2,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,3
5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
4PrGyX4YgCT6V3YqY7XEUw,0.701,0.76,8,-9.588,1,0.107,0.701,0.138,0.111,0.423,143.007,4
3q53rFJ6wnhLhm6W8VlA8P,0.571,0.619,8,-6.275,0,0.0906,0.315,0.000759,0.121,0.349,166.814,4
2ccYam7ZiLclqflsnqcWke,0.775,0.718,9,-5.984,0,0.122,0.557,0.0,0.291,0.864,145.047,4
4pMjZiXXGlmmEfYpQRP6iT,0.553,0.642,8,-7.661,0,0.0586,0.225,0.00237,0.16,0.365,166.867,4
